Country Code,Series Name,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CHN,"Intentional homicides (per 100,000 people)",..,2.051328299,1.892583138,1.905512151,1.591708022,1.368759718,1.219738079,1.113469087,1.095266945,0.994665915,0.885346696,0.825868842,0.773199449,0.727914756,0.66010605,0.615882984,0.566555784,0.531025484,0.518966641,0.502270364,..,..,..
CHN,Real interest rate (%),3.72666389,4.679724345,2.638146636,-1.282811705,1.613277503,2.110577727,-0.259570586,-2.305615343,5.531122909,-1.002401214,-1.402428747,3.585203529,3.755387055,4.522308432,4.353072252,2.901815389,0.112553973,0.821501872,3.024384821,3.838601204,-0.193517051,2.481076076,4.961288028
CHN,Exports of goods and services (current US$),2.7206E+11,3.33002E+11,4.47958E+11,6.07357E+11,7.73339E+11,9.91731E+11,1.25806E+12,1.49787E+12,1.26266E+12,1.65482E+12,2.00631E+12,2.17507E+12,2.35426E+12,2.46283E+12,2.3621E+12,2.19997E+12,2.42422E+12,2.65561E+12,2.62894E+12,2.72988E+12,3.55411E+12,3.71789E+12,3.51324E+12
CHN,Imports of goods and services (current US$),2.43974E+11,2.9562E+11,4.12137E+11,5.56183E+11,6.48712E+11,7.82812E+11,9.50021E+11,1.14904E+12,1.04253E+12,1.43242E+12,1.82541E+12,1.94321E+12,2.11939E+12,2.24128E+12,2.00326E+12,1.94449E+12,2.20852E+12,2.56412E+12,2.49615E+12,2.37474E+12,3.09328E+12,3.14004E+12,3.1272E+12
CHN,GDP growth (annual %),8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356,8.448469417,2.95066993,5.249557864
CHN,Military expenditure (current USD),26561462998,30284127410,33144000481,37904571827,42789953651,51453373234,62136590755,78840802820,96601666753,1.05523E+11,1.25286E+11,1.45128E+11,1.6407E+11,1.82109E+11,1.96539E+11,1.98538E+11,2.10443E+11,2.32531E+11,2.40333E+11,2.57973E+11,2.85931E+11,2.91958E+11,..
DEU,GDP (current US$),1.96638E+12,2.10235E+12,2.53472E+12,2.85232E+12,2.89339E+12,3.04631E+12,3.48406E+12,3.80879E+12,3.4798E+12,3.46815E+12,3.82483E+12,3.5979E+12,3.80809E+12,3.9658E+12,3.42357E+12,3.53778E+12,3.76309E+12,4.05201E+12,3.95721E+12,3.94014E+12,4.3483E+12,4.1636E+12,4.5257E+12
DEU,"Labor force, total",40007277,40030948,40205980,40003382,41196017,41667046,41855225,41908487,41950039,41901466,41687099,41842453,42229389,42474093,42657954,43538432,43785860,43914221,44421597,43496057,43394362,44221553,44183950
DEU,"Inflation, consumer prices (annual %)",1.983857313,1.420806156,1.034222186,1.665736967,1.546911148,1.577426428,2.298344007,2.628379816,0.312739007,1.103810378,2.075172837,2.008488848,1.504723303,0.906794,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,0.144877926,3.066666667,6.872574386,5.946436677
DEU,"Life expectancy at birth, total (years)",78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.7902439,80.70560976,..
DEU,"Unemployment, total (% of total labor force) (national estimate)",7.773,8.482,9.779,10.727,11.193,10.277,8.732,7.508,7.88,7.043,5.967,5.372,5.316,4.98,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068
DEU,"Population, total",82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83280000
DEU,"Central government debt, total (% of GDP)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DEU,Interest payments (% of revenue),6.735377625,6.616721504,6.087209767,6.097194373,5.948236975,5.80070363,5.842882525,5.838049087,5.56632461,5.163368373,5.399308421,4.820874767,3.565637591,3.155198607,2.729288673,2.279018505,1.924320484,1.72893425,1.462855463,1.064802323,0.976158361,1.476652696,..
DEU,Interest payments (% of expense),6.43297271,6.197470408,5.776746091,5.722554702,5.536750691,5.591071062,5.802470547,5.784789925,5.200032135,4.649488791,5.342230622,4.870596808,3.595014753,3.229632444,2.800207327,2.342788939,1.9722879,1.805566641,1.513979288,0.953284894,0.865111732,1.341976444,..
DEU,Control of Corruption: Estimate,..,1.888743639,1.87576139,1.840065479,1.875442266,1.793642521,1.726519346,1.745895863,1.746210337,1.766428828,1.741949916,1.817630172,1.798000813,1.812294841,1.775833249,1.781293988,1.796975613,1.898398638,1.865103364,1.825341582,1.782924771,1.818363428,1.664166212
DEU,Refugee population by country or territory of asylum,903000,980001,960393,876614,699996,605329,578866,582719,593787,594250,571672,589735,187545,216956,316098,669468,970357,1063835,1146682,1210596,1255694,2075445,2593007
DEU,"Intentional homicides (per 100,000 people)",1.448820771,1.439035721,1.34854705,1.368334594,1.285521647,1.21708127,1.093813872,1.023178729,0.988178591,0.975098829,0.906373597,0.808137139,0.834959673,0.874676616,0.830965265,1.169662774,0.983971146,0.950580714,0.749265098,0.93844894,0.833247865,..,..
DEU,Real interest rate (%),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DEU,Exports of goods and services (current US$),6.00934E+11,6.55733E+11,7.92551E+11,9.6794E+11,1.04027E+12,1.18713E+12,1.41581E+12,1.55941E+12,1.2333E+12,1.36934E+12,1.59228E+12,1.53518E+12,1.58678E+12,1.6531E+12,1.45859E+12,1.47256E+12,1.59277E+12,1.72646E+12,1.67731E+12,1.54332E+12,1.85488E+12,1.90612E+12,1.96426E+12
DEU,Imports of goods and services (current US$),5.70229E+11,5.70623E+11,7.00765E+11,8.26353E+11,8.96951E+11,1.02934E+12,1.19319E+12,1.33913E+12,1.06738E+12,1.19233E+12,1.40667E+12,1.31797E+12,1.36694E+12,1.39384E+12,1.20465E+12,1.21561E+12,1.32614E+12,1.48386E+12,1.45417E+12,1.33272E+12,1.63057E+12,1.80215E+12,1.78298E+12
DEU,GDP growth (annual %),1.636541013,-0.228310249,-0.529928994,1.162368267,0.885697236,3.855736152,2.89010719,0.910403196,-5.545164538,4.146767545,3.757968866,0.474291306,0.386224576,2.169498929,1.652719772,2.294710677,2.716024519,1.116443109,0.987893349,-4.095137491,3.669999862,1.369731055,-0.26643841
DEU,Military expenditure (current USD),25815401959,27611355672,32997363017,35776573894,30324965179,35883657973,40110859276,45098956312,44528927836,43025915012,45163212878,43798225349,44242647303,44662831168,38170021071,39909678594,42281112685,46497675956,49079444693,53318705118,56513126774,55759747827,..
